Egg_ID,ID,toeClip,TissueBox,sex,clutch,egg_encl_ID,mating_encl_ID,current_encl,species,trt,yolk,temp,mortality,liz_status,season,date_egg_laid_(day/m/year)),date_egg_laid_(year/m/day),hatch_date_(year/m/day),Hatch_data_(day/m/year),egg_mass,egg_length_mm,egg_width_mm,post_extract_mass,X.reduction,hatch_mass,hatch_svl,hatch_tl,hatch_total,death_date,notes
EG175,LD639,NA,,NA,CL66,E59,NA,,delicata,A-23,A,23,1,DEAD,2019/20,,20/1/2009,20/2/2022,,0.115,7.74,5.03,0.091,NA,NA,16.159,19.306,35.465,,same tub but three separate clutches by the looks of it;died within incubation tub - most likely due to not enough moisutre
EG003,NA,NA,,NA,CL001,E13,NA,,delicata,A-23,A,23,1,NA,2019/20,,19/11/2011,NA,,0.1,7.84,4.53,0.083,NA,NA,NA,NA,NA,,
EG040,NA,NA,,NA,CL021,E14,NA,,delicata,A-23,A,23,1,NA,2019/20,,19/11/2022,NA,,0.118,8.81,4.86,0.095,NA,NA,NA,NA,NA,,eggs stuck together
EG045,NA,NA,,NA,CL022,E7,NA,,delicata,A-23,A,23,1,NA,2019/20,,19/11/2024,NA,,0.137,7.16,5.63,0.115,NA,NA,NA,NA,NA,,"Egg dissected; embryo well developed, but early stage. Preserved"
EG049,NA,NA,,NA,CL023,E8,NA,,delicata,A-23,A,23,1,NA,2019/20,,19/11/2024,NA,,0.136,8.28,5.24,0.124,NA,NA,NA,NA,NA,,
EG058,NA,NA,,NA,CL028,E6,NA,,delicata,A-23,A,23,1,NA,2019/20,,19/11/2024,NA,,0.129,8.96,4.83,0.103,NA,NA,NA,NA,NA,,eggs not stuck together; died 19 Jan 2020
EG071,NA,NA,,NA,CL32,E12,NA,,delicata,A-23,A,23,1,NA,2019/20,,19/11/2026,NA,,0.15,8.88,5.33,0.132,NA,NA,NA,NA,NA,,eggs stuck together
EG093,NA,NA,,NA,CL37,E13,NA,,delicata,A-23,A,23,1,NA,2019/20,,19/11/2027,NA,,0.135,8.7,5.27,0.112,NA,NA,NA,NA,NA,,most likely multiple clutches but all eggs laid close together; died 19 Jan 2020
EG115,NA,NA,,NA,CL44,E13,NA,,delicata,A-23,A,23,1,NA,2019/20,,19/12/2003,NA,,0.11,7.41,5.02,0.083,NA,NA,NA,NA,NA,,
EG137,NA,NA,,NA,CL52,E14,NA,,delicata,A-23,A,23,1,NA,2019/20,,19/12/2008,NA,,0.106,8.28,4.68,0.082,NA,NA,NA,NA,NA,,all yolk; perfect
EG155,NA,NA,,NA,CL58,E12,NA,,delicata,A-23,A,23,1,NA,2019/20,,19/12/2017,NA,,0.155,8.09,5.87,0.129,NA,NA,NA,NA,NA,,eggs not stuck; egg died ad dissected. No apparent embryo
EG181,NA,NA,,NA,CL67,E50,NA,,delicata,A-23,A,23,1,NA,2019/20,,20/1/2015,NA,,0.142,8.14,5.45,0.106,NA,NA,NA,NA,NA,22/2/2020,egg died 22.2.20
EG184,NA,NA,,NA,CL68,E50,NA,,delicata,A-23,A,23,1,NA,2019/20,,20/2/2003,NA,,0.092,8.33,5.72,0.085,NA,NA,NA,NA,NA,22/2/2020,egg severly dehydrated. 2 others in clutch that were infertile and damaged; died 22.2.20
EG189,NA,NA,,NA,CL70,E13,NA,,delicata,A-23,A,23,1,NA,2019/20,,20/2/2007,NA,,0.121,7.84,5.17,0.091,NA,NA,NA,NA,NA,,
EG072,LG020,"""4010""",Box 1.21,f,CL33,E12,E002_M,E002_M,guichenoti,C-23,C,23,0,ALIVE,2019/20,,19/11/2026,20/1/2016,,0.162,8.55,5.6,NA,20/1/2016,0.148,18.683,25.042,43.725,,"CL33 laid in same spot, could be two clutches"
EG158,LG019,"""320(345)""",Box 1.21,m,CL59,E10,E006_M,E002_M,guichenoti,A-28,A,28,1,DEAD,2019/20,,19/12/2017,20/1/2015,,0.226,9.08,6.46,0.205,20/1/2015,0.158,21.465,29.023,50.488,6/12/2020,"mostly water removed, died 6.12.20"
EG073,LG017,"""(234)(12)20""",Box 1.21,m,CL33,E12,E002_M,E002_M,guichenoti,C-23,C,23,0,ALIVE,2019/20,,19/11/2026,20/1/2015,,0.196,8.99,6.24,NA,20/1/2015,0.161,20.277,18.137,38.414,,damaged tail tip 
EG156,LG016,"""3203""",Box 1.21,m,CL58,E12,NA,,delicata,C-28,C,28,0,ALIVE,2019/20,,19/12/2017,20/1/2014,,0.146,7.43,6.03,NA,20/1/2014,0.098,17.206,22.767,39.973,,Re-did length photograph on 15.01.20 (wasn't done properly first time)
EG133,LG015,"""2004""",Box 1.21,f,CL51,E10,E001_M,,guichenoti,C-28,C,28,0,ALIVE,2019/20,,19/12/2008,20/1/2009,,0.171,8.8,5.86,NA,20/1/2009,0.14,19.516,28.049,47.565,,
EG134,LG014,"""2020""",Box 1.21,f,CL51,E10,E005_M,E003_M/E005_M,guichenoti,A-28,A,28,0,ALIVE,2019/20,,19/12/2008,20/1/2009,,0.184,8.68,6.39,0.156,20/1/2009,0.119,18.607,27.416,46.023,,
EG123,LG013,"""4003""",Box 1.21,m,CL48,E1,E004_M,NA,guichenoti,C-28,C,28,1,DEAD,2019/20,,19/12/2005,20/1/2007,,0.213,9.98,6.37,NA,20/1/2007,0.168,19.882,24.24,44.122,,
EG140,LG012,"""2315""",Box 1.21,f,CL53,E13,E019_M,,delicata,C-28,C,28,0,ALIVE,2019/20,,19/12/2008,20/1/2006,,0.139,8.03,5.69,NA,20/1/2006,0.091,16.438,23.443,39.881,,
EG104,LG011,"""5002""",Box 1.21,m,CL40,E5,E003_M,E004_M,guichenoti,C-28,C,28,0,ALIVE,2019/20,,19/12/2001,20/1/2006,,0.153,8.87,6.63,NA,20/1/2006,0.139,19.497,24.709,44.206,,
EG013,LG010,"""0403""",Box 1.21,m,CL008,E2,E003_M,E003_M/E005_M,guichenoti,C-23,C,23,0,ALIVE,2019/20,,19/11/2018,20/1/2006,,0.164,8.23,6.07,NA,20/1/2006,0.138,18.746,25.747,44.493,,
EG112,LD590,NA,,,CL43,E6,NA,,delicata,A-28,A,28,1,DEAD,2019/20,,19/12/2001,20/1/2001,,0.115,8.07,5.06,0.1,20/1/2001,0.067,15.478,21.204,36.682,,good one; yolk
EG041,LD577,NA,,NA,CL021,E14,NA,,delicata,A-28,A,28,0,MISSING,2019/20,,19/11/2022,19/12/2021,,0.116,9.11,4.49,0.096,19/12/2021,0.083,16.954,20.916,37.87,,eggs stuck together
EG136,LD596,NA,,NA,CL52,E14,NA,,delicata,A-28,A,28,0,MISSING,2019/20,,19/12/2008,20/1/2006,,0.102,7.78,5.11,0.081,20/1/2006,0.08,16.972,20.781,37.753,,all yolk; perfect
EG002,NA,NA,,NA,CL001,E13,NA,,delicata,A-28,A,28,1,NA,2019/20,,19/11/2011,NA,,0.1,8.26,4.64,0.077,NA,NA,NA,NA,NA,,take out 0.02 ml
EG024,NA,NA,,NA,CL014,E13,NA,,delicata,A-28,A,28,1,NA,2019/20,,19/11/2020,NA,,0.139,8.53,5.66,0.109,NA,NA,NA,NA,NA,,bit more watery than want
EG026,NA,NA,,NA,CL016,E14,NA,,delicata,A-28,A,28,1,NA,2019/20,,19/11/2020,NA,,0.154,8.89,5.78,0.12,NA,NA,NA,NA,NA,,note may have accidently got embryo; little yolk mostly water
EG048,NA,NA,,NA,CL023,E8,NA,,delicata,A-28,A,28,1,NA,2019/20,,19/11/2024,NA,,0.134,8.55,4.89,0.123,NA,NA,NA,NA,NA,,
EG057,NA,NA,,NA,CL027,E6,NA,,delicata,A-28,A,28,1,NA,2019/20,,19/11/2024,NA,,0.133,8.77,5,0.107,NA,NA,NA,NA,NA,,
EG062,NA,NA,,NA,CL029,E15,NA,,delicata,A-28,A,28,1,NA,2019/20,,19/11/2024,NA,,0.106,7.88,4.87,0.089,NA,NA,NA,NA,NA,,
EG066,NA,NA,,NA,CL30,E7,NA,,delicata,A-28,A,28,1,NA,2019/20,,19/11/2024,NA,,0.123,7.35,5.49,0.093,NA,NA,NA,NA,NA,,
EG090,NA,NA,,NA,CL37,E13,NA,,delicata,A-28,A,28,1,NA,2019/20,,19/11/2027,NA,,0.114,8.66,4.75,0.096,NA,NA,NA,NA,NA,19/1/2020,most likely multiple clutches but all eggs laid close together; died 19 Jan 2020
EG092,NA,NA,,NA,CL37,E13,NA,,delicata,A-28,A,28,1,NA,2019/20,,19/11/2027,NA,,0.096,7.6,4.71,0.075,NA,NA,NA,NA,NA,,most likely multiple clutches but all eggs laid close together
EG094,NA,NA,,NA,CL37,E13,NA,,delicata,A-28,A,28,1,NA,2019/20,,19/11/2027,NA,,0.099,7.44,4.29,0.084,NA,NA,NA,NA,NA,,most likely multiple clutches but all eggs laid close together
EG096,NA,NA,,NA,CL38,E6,NA,,delicata,A-28,A,28,1,NA,2019/20,,19/11/2027,NA,,0.109,8.1,4.61,0.088,NA,NA,NA,NA,NA,,eggs together
EG113,NA,NA,,NA,CL44,E13,NA,,delicata,A-28,A,28,1,NA,2019/20,,19/12/2003,NA,,0.126,7.54,5.11,0.103,NA,NA,NA,NA,NA,,
EG122,NA,NA,,NA,CL47,E14,NA,,delicata,A-28,A,28,1,NA,2019/20,,19/12/2005,NA,,0.139,8.07,5.19,0.119,NA,NA,NA,NA,NA,,
EG142,NA,NA,,NA,CL53,E13,NA,,delicata,A-28,A,28,1,NA,2019/20,,19/12/2008,NA,,0.132,7.55,5.68,0.11,NA,NA,NA,NA,NA,,all yolk; perfect
EG159,NA,NA,,NA,CL60,E17,NA,,delicata,A-28,A,28,1,NA,2019/20,,19/12/2019,NA,,0.141,9.48,5.79,0.129,NA,NA,NA,NA,NA,19/1/2020,very shriveled egg;possibly removed yolk; died 19 Jan 2020
EG166,NA,NA,,NA,CL63,E50,NA,,delicata,A-28,A,28,1,NA,2019/20,,20/1/2009,NA,,0.124,7.31,4.75,0.1,NA,NA,NA,NA,NA,,same tub but three separate clutches by the looks of it
EG174,NA,NA,,NA,CL66,E59,NA,,delicata,A-28,A,28,1,NA,2019/20,,20/1/2009,NA,,0.119,8.01,5.1,0.117,NA,NA,NA,NA,NA,,same tub but three separate clutches by the looks of it
EG144,LG009,"""3005""",Box 1.21,f,CL54,E16,E001_M,,guichenoti,C-28,C,28,0,ALIVE,2019/20,,19/12/2008,20/1/2006,,0.085,8.71,4.67,NA,20/1/2006,0.113,16.512,21.695,38.207,,shrivelled a bit
EG005,LG008,"""5400""",Box 1.21,m,CL002,E4,E005_M,E003_M/E005_M,guichenoti,A-23,A,23,0,ALIVE,2019/20,,19/11/2011,20/1/2001,,0.124,8.1,5.46,0.103,20/1/2001,0.096,17.034,19.948,36.982,,
EG106,LG007,"""0300""",Box 1.21,f,CL41,E10,E001_M,,guichenoti,C-28,C,28,1,DEAD,2019/20,,19/12/2001,20/1/2001,,0.17,8.54,5.96,NA,20/1/2001,0.137,18.2,27.632,45.832,10/11/2021,Died 10/11/21
EG085,LG006,"""1041""",Box 1.21,m,CL36,E1,E006_M,E002_M,guichenoti,A-28,A,28,0,ALIVE,2019/20,,19/11/2026,19/12/2029,,0.24,10.54,5.97,0.204,19/12/2029,0.182,19.898,25.048,44.946,,
EG086,LG005,"""2005""",Box 1.21,f,CL36,E1,E004_M,E004_M,guichenoti,C-28,C,28,0,ALIVE,2019/20,,19/11/2026,19/12/2029,,0.232,9.94,6.49,NA,19/12/2029,0.196,19.308,26.453,45.761,,
EG051,LG004,"""0302""",Box 1.21,f,CL024,E10,E003_M,E003_M/E005_M,guichenoti,C-28,C,28,0,ALIVE,2019/20,,19/11/2024,19/12/2029,,0.16,9.6,5.14,NA,19/12/2029,0.164,19.807,30.82,50.627,,
EG015,LG002,"""4000""",Box 1.21,m,CL010,E5,E001_M,,guichenoti,C-28,C,28,0,ALIVE,2019/20,,19/11/2018,19/12/2020,,0.142,8.75,4.83,NA,19/12/2020,0.144,18.449,25.961,44.41,,possible injury to the head
EG009,LG001,"""5100""",Box 1.21,f,CL006,E11,E005_M,E003_M/E005_M,guichenoti,A-28,A,28,0,ALIVE,2019/20,,19/11/2015,19/12/2019,,0.179,NA,NA,0.144,19/12/2019,0.12,NA,NA,NA,,Ablated but mostly water it appears
EG186,LD650,"""2001""",Box 1.21,f,CL69,E71,NA,,delicata,A-23,A,23,0,ALIVE,2019/20,,20/2/2007,20/3/2023,,0.125,8.43,4.93,0.097,20/3/2023,0.091,18.479,21.196,NA,,
EG067,LD605,NA,,m,CL30,E7,NA,,delicata,C-23,C,23,0,ALIVE,2019/20,,19/11/2024,20/1/2009,,0.131,7.87,5.49,NA,20/1/2009,0.097,18.241,23.061,41.302,,
EG188,LD648,"""0530""",Box 1.21,m,CL70,E13,E019_M,E009_M,delicata,C-28,C,28,0,ALIVE,2019/20,,20/2/2007,20/3/2009,,0.118,7.88,4.81,NA,20/3/2009,0.111,18.162,27.647,NA,,
EG185,LD647,"""2003""",Box 1.21,f,CL69,E71,E011_M,,delicata,A-28,A,28,0,ALIVE,2019/20,,20/2/2007,20/3/2006,,0.125,8.31,5.14,0.115,20/3/2006,0.107,17.294,22.986,37.879,,
EG190,LD646,"""5(34)(234)0""",Box 1.21,m,CL70,E13,E010_M,E010_M,delicata,A-28,A,28,0,ALIVE,2019/20,,20/2/2007,20/3/2007,,0.12,8.28,5.28,0.102,20/3/2007,0.085,18.874,24.173,52.576,,
EG180,LD645,"""(23)(34)35""",Box 1.21,m,CL67,E50,E009_M,E009_M,delicata,A-23,A,23,0,ALIVE,2019/20,,20/1/2015,20/3/2002,,0.122,7.95,5.43,0.11,20/3/2002,0.113,17.044,20.832,37.876,,
EG129,LD623,NA,,m,CL49,E8,NA,,delicata,C-23,C,23,0,ALIVE,2019/20,,19/12/2008,20/1/2021,,0.136,7.64,5.84,NA,20/1/2021,0.096,15.888,19.987,35.875,,
EG139,LD625,NA,,m,CL52,E14,NA,,delicata,C-23,C,23,0,ALIVE,2019/20,,19/12/2008,20/1/2025,,0.099,8.02,4.74,NA,20/1/2025,0.101,16.379,24.101,40.48,,relook at the photos on the camera to get an idea (these length measurements are for LD625 (19/4/20)
EG172,LD644,"""5220""",Box 1.21,f,CL65,E59,E013_M,E013_M,delicata,C-23,C,23,0,ALIVE,2019/20,,20/1/2009,20/2/2025,,0.118,8.03,5.21,NA,20/2/2025,0.113,17.842,24.527,42.369,,same tub but three separate clutches by the looks of it
EG163,LD642,"""4330""",Box 1.21,f,CL63,E50,E009_M,E009_M,delicata,A-23,A,23,0,ALIVE,2019/20,,20/1/2009,20/2/2025,,0.129,7.68,5.75,0.098,20/2/2025,0.099,16.8,21.14,37.94,,
EG164,LD643,NA,,m,CL63,E50,NA,,delicata,C-23,C,23,0,ALIVE,2019/20,,20/1/2009,20/2/2025,,0.124,8.11,5.28,NA,20/2/2025,0.122,18.443,25.199,43.642,,
EG173,LD641,"""1030""",Box 1.21,m,CL66,E59,E016_M,,delicata,C-23,C,23,0,ALIVE,2019/20,,20/1/2009,20/2/2025,,0.125,8.18,5.46,NA,20/2/2025,0.108,16.711,24.605,41.316,,same tub but three separate clutches by the looks of it
EG170,LD640,"""2333""",Box 1.21,m,CL65,E59,E008_M,,delicata,A-23,A,23,0,ALIVE,2019/20,,20/1/2009,20/2/2025,,0.132,8.71,5.24,0.105,20/2/2025,0.107,17.81,22.272,40.082,,same tub but three separate clutches by the looks of it
EG168,LD638,"""4131""",Box 1.21,f,CL64,E59,E012_M,,delicata,C-23,C,23,0,ALIVE,2019/20,,20/1/2009,20/2/2022,,0.175,9.13,6.06,NA,20/2/2022,0.139,18.48,25.477,43.957,,same tub but three separate clutches by the looks of it
EG182,LD637,"""(15)(25)(23)(23)""",Box 1.21,m,CL67,E50,E015_M,E015_M,delicata,C-23,C,23,0,ALIVE,2019/20,,20/1/2015,20/2/2019,,0.193,8.21,6.49,NA,NA,0.112,17.422,24.103,41.525,,
EG183,LD636,"""*2(35)(All)""",Box 1.21,f,CL67,E50,E013_M,E013_M,delicata,C-23,C,23,0,ALIVE,2019/20,,20/1/2015,20/2/2019,,0.204,8.3,6.24,NA,20/2/2019,0.114,17.265,23.205,40.47,,
EG187,LD649,NA,,NA,CL69,E71,NA,,delicata,C-23,C,23,0,ALIVE,2019/20,,20/2/2007,20/3/2023,,0.123,8.08,5.27,NA,20/3/2023,0.11,18.118,24.384,NA,,
EG042,LD611,NA,,NA,CL022,E7,NA,,delicata,C-23,C,23,0,MISSING,2019/20,,19/11/2024,20/1/2013,,0.104,8.5,4.3,NA,20/1/2013,0.1,17.286,23.601,40.887,,Re-did length photograph on 15.01.20 (wasn't done properly first time); Missing on  (11/3/20)
EG055,NA,NA,,NA,CL026,E6,NA,,delicata,C-23,C,23,1,NA,2019/20,,19/11/2024,NA,,0.115,8.13,4.78,NA,NA,NA,NA,NA,NA,,
EG088,NA,NA,,NA,CL37,E13,NA,,delicata,C-23,C,23,1,NA,2019/20,,19/11/2027,NA,,0.118,8.21,5.18,NA,NA,NA,NA,NA,NA,,most likely multiple clutches but all eggs laid close together
EG169,LD632,"""4215""",Box 1.21,f,CL64,E59,NA,,delicata,C-28,C,28,0,ALIVE,2019/20,,20/1/2009,20/2/2007,,0.184,8.97,6.35,NA,20/2/2007,NA,NA,NA,NA,,NOT PART OF THE EXPERIMENT-was left outside the incubators for 5 days after being processed. Mass at birth was 0.124
EG176,LD631,"""30(34)0""",Box 1.21,m,CL66,E59,E019_M,E019_M,delicata,C-28,C,28,0,ALIVE,2019/20,,20/1/2009,20/2/2006,,0.13,8.22,5.4,NA,20/2/2006,0.116,18.366,23.777,42.143,,same tub but three separate clutches by the looks of it
EG167,LD630,"""3411""",Box 1.21,f,CL64,E59,E011_M,E011_M/E024_M,delicata,A-28,A,28,0,ALIVE,2019/20,,20/1/2009,20/2/2005,,0.177,8.97,5.71,0.144,20/2/2005,0.1,17.029,22.362,39.391,,same tub but three separate clutches by the looks of it
EG178,LD629,"""422(345)""",Box 1.21,f,CL67,E50,E010_M,E010_M,delicata,A-28,A,28,0,ALIVE,2019/20,,20/1/2015,20/2/2005,,0.142,7.84,5.71,0.123,20/2/2005,0.1,18.029,22.137,40.166,,
EG179,LD628,"""2345""",Box 1.21,f,CL67,E50,E009_M,E009_M,delicata,A-28,A,28,0,ALIVE,2019/20,,20/1/2015,20/2/2005,,0.187,8.18,6.54,0.17,20/2/2005,0.113,17.159,23.111,40.27,,
EG148,LD627,"""232(34)""",Box 1.21,f,CL55,E14,E018_M,E018_M,delicata,C-23,C,23,0,ALIVE,2019/20,,19/12/2012,20/1/2028,,0.136,7.68,5.67,NA,20/1/2028,0.09,16.371,23.336,39.707,,
EG145,LD626,"""3224""",Box 1.21,f,CL55,E14,E008_M,E018_M,delicata,A-23,A,23,0,ALIVE,2019/20,,19/12/2012,20/1/2026,,0.145,7.78,5.66,0.115,20/1/2026,0.078,16.958,20.306,20.306,,Length data is from DSCN8991_LD625 on the 26.1.20. 
EG128,LD624,"""5440""",Box 1.21,m,CL49,E8,E007_M,E007_M,delicata,A-23,A,23,0,ALIVE,2019/20,,19/12/2008,20/1/2022,,0.146,7.6,5.8,0.121,20/1/2022,0.087,16.683,21.309,37.992,,
EG114,LD622,"""1340""",Box 1.21,m,CL44,E13,E015_M,E015_M,delicata,C-23,C,23,0,ALIVE,2019/20,,19/12/2003,20/1/2021,,0.108,7.45,4.96,NA,20/1/2021,0.099,16.906,22.595,39.501,,
EG091,LD620,"""42(13)(23)""",Box 1.21,m,CL37,E13,E013_M,E013_M,delicata,C-23,C,23,0,ALIVE,2019/20,,19/11/2027,20/1/2015,,0.108,8.77,4.77,NA,20/1/2015,0.105,15.821,25.878,41.699,,most likely multiple clutches but all eggs laid close together
EG098,LD619,"""2022""",Box 1.21,m,CL38,E6,E010_M,E010_M,delicata,A-23,A,23,0,ALIVE,2019/20,,19/11/2027,20/1/2015,,0.123,8.29,4.83,0.096,20/1/2015,0.085,17.225,21.851,39.076,,eggs together
EG097,LD618,"""3053""",Box 1.21,f,CL38,E6,E016_M,E016_M,delicata,C-23,C,23,0,ALIVE,2019/20,,19/11/2027,20/1/2014,,0.106,7.69,4.76,NA,20/1/2014,0.104,16.718,22.977,39.695,,eggs together; Re-did length photograph on 15.01.20 (wasn't done properly first time)
EG060,LD617,"""1004""",Box 1.21,f,CL029,E15,E009_M,,delicata,A-23,A,23,1,DEAD,2019/20,,19/11/2024,20/1/2013,,0.099,7.44,4.71,0.071,20/1/2013,0.062,17.106,21.284,32.437,,Re-did length photograph on 15.01.20 (wasn't done properly first time)
EG101,LD616,"""5300""",Box 1.21,f,CL39,E12,E015_M,E015_M,delicata,C-23,C,23,0,ALIVE,2019/20,,19/11/2027,20/1/2013,,0.115,7.51,4.89,NA,20/1/2013,0.093,17.288,21.894,39.182,,eggs together; Re-did length photograph on 15.01.20 (wasn't done properly first time)
EG063,LD615,"""0330""",Box 1.21,f,CL029,E15,E014_M,NA,delicata,C-23,C,23,1,DEAD,2019/20,,19/11/2024,20/1/2013,,0.106,8.36,4.79,NA,20/1/2013,0.105,16.881,24.695,41.576,,"Re-did length photograph on 15.01.20 (wasn't done properly first time), died 10/11/21"
EG039,LD612,"""(45)420""",Box 1.21,m,CL021,E14,E016_M,E016_M,delicata,C-23,C,23,0,ALIVE,2019/20,,19/11/2022,20/1/2013,,0.113,8.56,4.71,NA,20/1/2013,0.102,17.664,22.663,40.327,,eggs stuck together; Re-did length photograph on 15.01.20 (wasn't done properly first time)
EG047,LD610,"""4500""",Box 1.21,m,CL023,E8,E014_M,,delicata,C-23,C,23,0,ALIVE,2019/20,,19/11/2024,20/1/2013,,0.124,8.48,4.72,NA,20/1/2013,0.12,17.48,26.632,44.112,,Re-did length photograph on 15.01.20 (wasn't done properly first time)
EG147,LD609,"""3100""",Box 1.21,m,CL55,E14,E018_M,E018_M,delicata,C-28,C,28,0,ALIVE,2019/20,,19/12/2012,20/1/2013,,0.144,7.38,5.31,NA,20/1/2013,0.084,16.791,21.658,38.449,,Re-did length photograph on 15.01.20 (wasn't done properly first time)
EG146,LD608,"""4420""",Box 1.21,m,CL55,E14,E010_M,E010_M,delicata,A-28,A,28,0,ALIVE,2019/20,,19/12/2012,20/1/2013,,0.15,8.03,5.82,0.125,20/1/2013,0.07,15.718,20.719,36.437,,Re-did length photograph on 15.01.20 (wasn't done properly first time)
EG059,LD607,"""13(234)0""",Box 1.21,m,CL028,E6,E018_M,E018_M,delicata,C-23,C,23,0,ALIVE,2019/20,,19/11/2024,20/1/2009,,0.116,8.2,4.76,NA,20/1/2009,0.099,17.471,23.716,41.187,,eggs not stuck together
EG046,LD606,"""5034""",Box 1.21,f,CL023,E8,E016_M,E016_M,delicata,C-23,C,23,0,ALIVE,2019/20,,19/11/2024,20/1/2009,,0.127,8.17,4.93,NA,20/1/2009,0.117,19.82,25.546,45.366,,
EG053,LD604,"""4305""",Box 1.21,f,CL025,E7,E015_M,NA,delicata,C-23,C,23,1,DEAD,2019/20,,19/11/2024,20/1/2009,,0.124,8.18,5.11,NA,20/1/2009,0.095,17.872,23.932,41.804,,"single egg, 20/10/21"
EG004,LD572,NA,,NA,CL001,E13,NA,,delicata,C-28,C,28,1,DEAD,2019/20,,19/11/2011,19/12/2012,,0.099,8.11,4.96,NA,19/12/2012,0.071,16.676,20.907,37.583,17/2/2020,bump on head; Died  (17/2/20)
EG070,LG003,NA,,NA,CL32,E12,NA,,delicata,C-28,C,28,0,MISSING,2019/20,,19/11/2026,19/12/2027,,0.144,8.72,5.31,NA,19/12/2027,0.152,18.102,25.781,43.883,,eggs stuck together
EG116,NA,NA,,NA,CL44,E13,NA,,delicata,C-28,C,28,0,NA,2019/20,,19/12/2003,NA,,0.122,7.27,5.34,NA,NA,NA,NA,NA,NA,,
EG130,NA,NA,,NA,CL49,E8,NA,,delicata,C-28,C,28,1,NA,2019/20,,19/12/2008,NA,,0.129,7.52,5.84,NA,NA,NA,NA,NA,NA,,
